Name,Title,gender,race,School,department
"Lopez-Pineiro, Sergio",Lecturer in the Department of Landscape Architecture,M,White,GSD,GSD
"Lott, Jonathan",Assistant Professor of Architecture,M,White,GSD,GSD
"Malkawi, Ali",Professor of Architectural Technology,M,Asian,GSD,GSD
"Marchant, Edward",Lecturer,M,White,GSD,GSD
"May, John",Assistant Professor of Architecture,M,White,GSD,GSD
"McCafferty, Patrick",Lecturer in Architecture,M,White,GSD,GSD
"Mehrotra, Rahul",Professor of Urban Design and Planning,M,Asian,GSD,GSD
"Monacella, Rosalea",Design Critic in Landscape Architecture,F,White,GSD,GSD
"Moreno Mateos, David",Assistant Professor of Landscape Architecture,M,White,GSD,GSD
"Mori, Toshiko",Robert P. Hubbard Professor in the Practice of Architecture,F,Asian,GSD,GSD
"Mostafavi, Mohsen",Alexander and Victoria Wiley Professor of Design and Harvard University Distinguished Service Professor,M,Asian,GSD,GSD
"Moussavi, Farshid",Professor in Practice of Architecture,F,Asian,GSD,GSD
"Naginski, Erika",Robert P. Hubbard Professor of Architectural History,F,White,GSD,GSD
"Nakazawa, Paul",Associate Professor in Practice of Architecture,M,Asian,GSD,GSD
"Panzano, Megan",Assistant Professor of Architecture,F,White,GSD,GSD
"Peiser, Richard",Michael D Spear Professor of Real Estate Development,M,White,GSD,GSD
"Peterson, John",Lecturer,M,White,GSD,GSD
"Picon, Antoine",G. Ware Travelstead Professor of the History of Architecture and Technology,M,White,GSD,GSD
"Pietrusko, Robert",Associate Professor of Landscape Architecture,M,White,GSD,GSD
"Reed, Christopher",Professor in Practice of Landscape Architecture,M,White,GSD,GSD
"Reidel, Jacob",Assistant Professor in Practice of Architecture,M,White,GSD,GSD
"Rowe, Peter",Raymond Garbe Professor of Architecture and Urban Design,M,White,GSD,GSD
"Samuelson, Holly",Assistant Professor of Architecture,F,White,GSD,GSD
"Sayegh, Allen",Associate Professor in Practice of Architectural Technology,M,White,GSD,GSD
"Schafer, Ashley",Lecturer,F,White,GSD,GSD
"Schwartz, Martha",Professor in Practice of Landscape Architecture,F,White,GSD,GSD
"Scogin, Mack",Kajima Professor in Practice of Architecture,M,White,GSD,GSD
"Shoshan, Malkit",Lecturer,F,White,GSD,GSD
"Silvetti, Jorge",Nelson Robinson Jr. Professor in Architecture,M,White,GSD,GSD
"Smith, Christine",Robert C and Marian K Weinberg Professor of Architectural History,F,White,GSD,GSD
"Snyder, Susan",Lecturer in Architecture,F,White,GSD,GSD
"Song, Lily",Lecturer and Research Associate,F,Asian,GSD,GSD
"Spinak, Abby",Lecturer,F,White,GSD,GSD
"Stanescu, Oana",Design Critic in Architecture,F,White,GSD,GSD
"Stockard, James",Lecturer in Urban Planning and Design,M,White,GSD,GSD
"Sturla, Paola",Lecturer (Faculty),F,White,GSD,GSD
"Tapp, Renee",Lecturer (Faculty),F,White,GSD,GSD
"Tato, Belinda",Assoc Professor in Practice,F,White,GSD,GSD
"Thiermann, Alfredo",Design Critic in Architecture,M,White,GSD,GSD
"Thomas, George",Lecturer in Architecture,M,White,GSD,GSD
"Uchill, Rebecca",Lecturer (Faculty),F,White,GSD,GSD
"Voulgaris, Carole",Assistant Professor of Urban Planning,F,White,GSD,GSD
"Waldheim, Charles",John E. Irving Professor of Landscape Architecture,M,White,GSD,GSD
"Wall, Alexander",Design Critic,M,White,GSD,GSD
"Wang, Bing",Associate Professor in Practice of Real Estate and the Built Environment,F,Asian,GSD,GSD
"Wettstein, Emily",Design Critic,F,White,GSD,GSD
"Whiting, Sarah",Professor of Architecture,F,White,GSD,GSD
"Whittaker, Elizabeth",Associate Professor in Practice of Architecture,F,White,GSD,GSD
"Witt, Andrew",Associate Professor in Practice of Architecture,M,White,GSD,GSD
"Witte, Ron",Visiting Professor in Architecture,M,White,GSD,GSD
"Wodiczko, Krzysztof","Professor in Residence of Art, Design and the Public Domain",M,White,GSD,GSD
"Ahmed, Leila",Victor S Thomas Professor of Divinity,F,Asian,HDS,GSD
"Bazzana, Giovanni",Professor of New Testament,M,White,HDS,GSD
"Braude, Ann",Senior Lecturer on American Religious History and Director of the Women's Studies in Religion Program,F,White,HDS,GSD
"Brekus, Catherine",Charles Warren Professor of the History of Religion in America,F,White,HDS,GSD
"Carrasco, David",Neil L. Rudenstine Professor for the Study of Latin Amer. in Fac. of Divinity/Arts and Sciences,M,White,HDS,GSD
"Click, Emily",Lectecter on Ministry Studies,F,White,HDS,GSD
"Clooney, Francis",Parkman Professor of Divinity and Professor of Comparative Theology,M,White,HDS,GSD
"Fiorenza, Francis",Charles Chauncey Stillman Professor of Roman Catholic Theological Studies,M,White,HDS,GSD
"Giles, Cheryl",Francis Greenwood Peabody Senior Lecturer in Pastoral Care and Counseling,F,African American,HDS,GSD
"Gyatso, Janet",Hershey Professor of Buddhist Studies,F,Asian,HDS,GSD
"Hallisey, Charles",Yehan Numata Senior Lecturer in Buddhist Literatures,M,White,HDS,GSD
"Hempton, David",Alonzo L. McDonald Family Professor of Evangelical Theological Studies,M,White,HDS,GSD
"Holland, David",John A. Bartlett Professor of New England Church History,M,White,HDS,GSD
"Hollywood, Amy",Elizabeth H. Monrad Professor of Christian Studies,F,White,HDS,GSD
"Johansen, Baber",Professor of Islamic Studies,M,White,HDS,GSD
"Jordan, Mark",Richard Reinhold Niebuhr Professor of Divinity,M,White,HDS,GSD
"Kane, Ousmane Oumar",Prince Alwaleed Bin Talal Professor of Contemporary Islamic Religion and Society,M,African American,HDS,GSD
"King, Karen",Hollis Professor of Divinity,F,White,HDS,GSD
"Lamberth, David",Professor of Philosophy and Theology,M,White,HDS,GSD
"Levenson, Jon",Albert A. List Professor of Jewish Studies,M,White,HDS,GSD
"Madigan, Kevin",Winn Professor of Ecclesiastical History,M,White,HDS,GSD
"McKanan, Daniel",Ralph Waldo Emerson Unitarian Universalist Association Senior Lecturer in Divinity,M,White,HDS,GSD
"Moore, Diane","Lecturer in Religion, Conflict, and Peace",F,White,HDS,GSD
"Olupona, Jacob",Professor of African and African American Studies and Professor of African Religious Traditions,M,African American,HDS,GSD
"Patton, Kimberley",Professor of the Comparative and Historical Study of Religion,F,White,HDS,GSD
"Paulsell, Stephanie",Susan Shallcross Swartz Professor of the Practice of Christian Studies and Interim Pusey Minister of Memorial Church,F,White,HDS,GSD
"Potts, Matthew",Associate Professor of Religion and Literature and of Ministry Studies,M,White,HDS,GSD
"Ragab, Ahmed",Richard T. Watson Associate Professor of Science and Religion,M,White,HDS,GSD
"Rivera, Mayra","The Andrew W. Mellon Professor of Religion and Latinx Studies (HDS), Professor of Romance Languages and Literatures, and Chair of the Standing Committee on Ethnicity Migration Rights in FAS",F,White,HDS,GSD
"Rose, Dudley",Member of the Faculty of Divinity,M,White,HDS,GSD
"Sanchez, Michelle",Associate Professor of Theology,F,White,HDS,GSD
"Schussler Fiorenza, Elisabeth",Krister Stendahl Professor of Divinity,F,White,HDS,GSD
"Stang, Charles","Professor of Early Christian Thought, and Director of the Center for the Study of World Religions",M,White,HDS,GSD
"Teeter, Andrew",Professor of Hebrew Bible/Old Testament,M,White,HDS,GSD
"Thomas, Todne",Assistant Professor of African American Religions (HDS) and Suzanne Young Murray Assistant Professor at the Radcliffe Institute,F,African American,HDS,GSD
"West, Cornel",Professor of the Practice of Public Philosophy,M,African American,HDS,GSD
"Adelman, Elizabeth",Lecturer on Education,F,White,GSE,GSD
"Allen, Danielle",James Bryant Conant University Professor,F,African American,GSE,GSD
"Amaechi, Uche",Lecturer on Education,M,African American,GSE,GSD
"Barrera-Osorio, Felipe",Associate Professor of Education and Economics,M,White,GSE,GSD
"Benns, Whitney",Lecturer on Education,F,African American,GSE,GSD
"Blair, Peter",Assistant Professor of Education,M,African American,GSE,GSD
"Blatt, Joe","Senior Lecturer on Education and Director of Technology, Innovation and Education Masters Program",M,White,GSE,GSD
"Bocala, Candice",Lecturer (Faculty),F,White,GSE,GSD
"Bondie, Rhonda",Lecturer on Education,F,White,GSE,GSD
"Boudett, Kathryn",Senior Lecturer on Education,F,White,GSE,GSD
"Brennan, Karen",Associate Professor of Education,F,White,GSE,GSD
"Bridwell-Mitchell, Ebony",Associate Professor of Education,F,African American,GSE,GSD
"Brion-Meisels, Gretchen",Lecturer on Education,F,White,GSE,GSD
"Cheatham, Jennifer",Senior Lecturer on Education,F,White,GSE,GSD
"City, Elizabeth",Senior Lecturer on Education,F,White,GSE,GSD
"Conaway, Carrie",Senior Lecturer,F,White,GSE,GSD
"Davies, Emmerich",Assistant Professor of Education,M,African American,GSE,GSD
"Dede, Chris",Timothy E. Wirth Professor in Learning Technologies,M,White,GSE,GSD
"Deming, David",Professor of Public Policy,M,White,GSE,GSD
"Dockterman, David",Lecturer on Education,M,White,GSE,GSD
"Dryden-Peterson, Sarah",Associate Professor of Education,F,White,GSE,GSD
"Duraisingh, Elizabeth",Lecturer on Education,F,White,GSE,GSD
"Echelson, Drew",Senior Lecturer,M,White,GSE,GSD
"El-Amin, Aaliyah",Lecturer on Education,F,African American,GSE,GSD
"Elgin, Catherine",Professor of Education,F,White,GSE,GSD
"Givens, Jarvis",Assistant Professor on Education,M,African American,GSE,GSD
"Gonzales, Roberto",Professor of Education,M,White,GSE,GSD
"Grassa O'Neill, Mary",Senior Lecturer on Education,F,White,GSE,GSD
"Gunn, Gregory",Preceptor in Entrepreneurship and Innovation,M,African American,GSE,GSD
"Harouni, Houman",Lecturer on Education,M,White,GSE,GSD
"Harris, Paul",Victor S. Thomas Professor of Education,M,White,GSE,GSD
"Heller, Noah",Lecturer on Education and Master Teacher in Residence in the Harvard Teacher Fellows Program,M,White,GSE,GSD
"Helsing, Deborah",Lecturer on Education,F,White,GSE,GSD
"Higgins, Monica",Kathleen McCartney Professor of Education Leadership,F,White,GSE,GSD
"Hill, Heather",Jerome T. Murphy Professor in Education,F,White,GSE,GSD
"Hill, Nancy",Charles Bigelow Professor of Education,F,African American,GSE,GSD
"Ho, Andrew",Charles William Eliot Professor of Education,M,Asian,GSE,GSD
"Honan, James",Senior Lecturer on Education,M,White,GSE,GSD
"Jack, Anthony","Professor, Assistant",M,African American,GSE,GSD
"Jewell-Sherman, Deborah",Gregory R. Anrig Professor of Practice in Educational Leadership,F,African American,GSE,GSD
"Johnson, Susan Moore",Jerome T. Murphy Research Professor in Education,F,White,GSE,GSD
"Jones, Stephanie",Professor of Education,F,White,GSE,GSD
"Kane, Thomas",Walter H. Gale Professor of Education and Economics,M,White,GSE,GSD
"Kim, James",Professor of Education,M,Asian,GSE,GSD
"Kim, Josephine",Lecturer on Education,F,Asian,GSE,GSD
"Laskow Lahey, Lisa",Lecturer on Education,F,White,GSE,GSD
"Lem, Holly",Lecturer on Education,F,White,GSE,GSD
"Lesaux, Nonie",Juliana W. and William Foss Thompson Professor of Education and Society,F,White,GSE,GSD
"Levinson, Meira",Professor of Education,F,White,GSE,GSD
"Li, Junlei",Saul Zaentz Senior Lecturer in Early Childhood Education,M,Asian,GSE,GSD
"Light, Richard","Carl H. Pforzheimer, Jr. Professor of Teaching and Learning",M,White,GSE,GSD
"Long, Bridget",Saris Professor of Education and Economics,F,African American,GSE,GSD
"Mapp, Karen",Senior Lecturer on Education,F,African American,GSE,GSD
"Mason, Pamela",Senior Lecturer on Education,F,African American,GSE,GSD
"McCarthy, Timothy",Lecturer on Education,M,White,GSE,GSD
"McCoy, Dana",Assistant Professor of Education,F,White,GSE,GSD
"McGowan, Eileen",Lecturer on Education,F,White,GSE,GSD
"McIntyre, Joseph",Lecturer on Education,M,White,GSE,GSD
"McLaughlin, Judith",Senior Lecturer on Education,F,White,GSE,GSD
"Mehta, Jal",Professor of Education,M,White,GSE,GSD
"Merseth, Katherine","Lecturer (Annual), Part-time",F,White,GSE,GSD
"Miller, Matthew",Senior Lecturer on Education and Associate Dean for Learning and Teaching,M,White,GSE,GSD
"Miratrix, Luke",Assistant Professor of Education,M,White,GSE,GSD
"Nelson, Charles",Professor of Pediatrics,M,White,GSE,GSD
"Ozernov-Palchik, Ola",Lecturer on Education,F,White,GSE,GSD
"Pereira, Victor",Lecturer on Education and Master Teacher in Residence in the Harvard Teacher Fellows Program,M,White,GSE,GSD
"Purcell, Francesca",Senior Lecturer,F,White,GSE,GSD
"Reimers, Fernando",Ford Foundation Professor of Practice in International Education,M,White,GSE,GSD
"Reuben, Julie",Charles Warren Professor of the History of American Education,F,White,GSE,GSD
"Reville, Stephen",Francis Keppel Professor of Practice of Educational Policy and Administration,M,White,GSE,GSD
"Rieser, Katherine",Lecturer on Education,F,White,GSE,GSD
"Rose, Todd",Lecturer on Education,M,White,GSE,GSD
"Rowe, Meredith",Professor of Education,F,White,GSE,GSD
"Savitz-Romer, Melinda",Nancy Pforzheimer Aronson Senior Lecturer in Human Development and Education,F,White,GSE,GSD
"Schifter, Laura",Lecturer on Education,F,White,GSE,GSD
"Schneider, Bertrand",Assistant Professor of Education,M,White,GSE,GSD
"Scott, Irvin",Senior Lecturer on Education,M,African American,GSE,GSD
"Seidel, Steven",The Patricia Bauman and John Landrum Bryant Senior Lecturer on Arts in Education,M,White,GSE,GSD
"Selman, Robert",Roy E. Larsen Professor of Education and Human Development,M,White,GSE,GSD
"Shed, Eric",Lecturer on Education and Director of the Harvard Teacher Fellows Program,M,White,GSE,GSD
"Shonkoff, Jack","Julius B. Richmond FAMRI Professor of Child Health and Development, Harvard T.H. Chan School of Public Health and Harvard Graduate School of Education",M,White,GSE,GSD
"Singer, Judith",James Bryant Conant Professor of Education,F,White,GSE,GSD
"Snow, Catherine",Patricia Albjerg Graham Professor of Education,F,White,GSE,GSD
"Star, Jon",Professor of Education,M,White,GSE,GSD
"Straus, Samuel",Lecturer on Education,M,White,GSE,GSD
"Taylor, Eric",Assistant Professor of Education,M,White,GSE,GSD
"Tishman, Shari",Lecturer on Education,F,White,GSE,GSD
"Uccelli, Paola",Professor of Education,F,White,GSE,GSD
"Umana-Taylor, Adriana",Professor of Education,F,White,GSE,GSD
"Upchurch, Aysha",Lecturer on Education,F,African American,GSE,GSD
"Villarreal, Christina",Lecturer,F,White,GSE,GSD
"Weissbourd, Richard",Senior Lecturer on Education,M,White,GSE,GSD
"West, Martin",William Henry Bloomberg Professor of Education,M,White,GSE,GSD
"Zeller, Jacqueline",Lecturer on Education,F,White,GSE,GSD
"Amir, Ariel",Associate Professor of Applied Mathematics and Applied Physics,M,White,SEAS,APMATH
"Brenner, Michael",Michael F. Cronin Professor of Applied Mathematics and Applied Physics and Professor of Physics,M,White,SEAS,APMATH
"Eddy, Sean",Ellmore C. Patterson Professor of Molecular and Cellular Biology and of Applied Mathematics,M,White,SEAS,APMATH
"Mahadevan, Lakshminarayanan","Lola England de Valpine Professor of Applied Mathematics, of Organismic and Evolutionary Biology, and of Physics",M,Asian,SEAS,APMATH
"Pehlevan, Cengiz",Assistant Professor of Applied Mathematics,M,White,SEAS,APMATH
"Rycroft, Christopher",John L. Loeb Associate Professor of Engineering and Applied Sciences,M,White,SEAS,APMATH
"Sorensen, Pia",Senior Preceptor in Chemical Engineering and Applied Materials,F,White,SEAS,APMATH
"Basan, Markus Thomas",Assistant Professor of Systems Biology; Affiliate in Applied Physics,M,White,SEAS,APPHYS
"Bell, David",Gordon McKay Professor of the Practice of Electron Microscopy,M,White,SEAS,APPHYS
"Capasso, Federico",Robert L. Wallace Professor of Applied Physics and Vinton Hayes Senior Research Fellow in Electrical Engineering,M,White,SEAS,APPHYS
"Cluzel, Philippe",Professor of Molecular and Cellular Biology and Gordon McKay Professor of Applied Physics,M,White,SEAS,APPHYS
"Ham, Donhee",Gordon McKay Professor of Electrical Engineering and Applied Physics,M,Asian,SEAS,APPHYS
"Hau, Lene",Mallinckrodt Professor of Physics and of Applied Physics,F,White,SEAS,APPHYS
"Hekstra, Doeke",Assistant Professor of Molecular and Cellular Biology and of Applied Physics,M,White,SEAS,APPHYS
"Hoffman, Jenny",Clowes Professor of Science,F,White,SEAS,APPHYS
"Kaxiras, Efthimios",John Hasbrouck Van Vleck Professor of Pure and Applied Physics,M,White,SEAS,APPHYS
"Kim, Philip",Professor of Physics and of Applied Physics,M,Asian,SEAS,APPHYS
"Loncar, Marko",Tiantsai Lin Professor of Electrical Engineering,M,White,SEAS,APPHYS
"Manoharan, Vinothan",Wagner Family Professor of Chemical Engineering and Professor of Physics,M,Asian,SEAS,APPHYS
"Mazur, Eric",Balkanski Professor of Physics and Applied Physics,M,White,SEAS,APPHYS
"Miller, Kelly Anne",Senior Preceptor in Applied Physics,F,White,SEAS,APPHYS
"Mundy, Julia",Assistant Professor of Physics; Affiliate in Applied Physics,F,White,SEAS,APPHYS
"Narayanamurti, Venkatesh",Benjamin Peirce Research Professor of Technology and Public Policy,M,Asian,SEAS,APPHYS
"Needleman, Daniel",Gordon McKay Professor of Applied Physics and Professor of Molecular and Cellular Biology,M,White,SEAS,APPHYS
"Nelson, David",Arthur K. Solomon Professor of Biophysics and Professor of Physics and Applied Physics,M,White,SEAS,APPHYS
"Prigozhin, Maxim",Assistant Professor of Molecular and Cellular Biology and of Applied Physics,M,Asian,SEAS,APPHYS
"Ramanathan, Sharad",Llura and Gordon Gund Professor of Neurosciences and of Molecular and Cellular Biology and Professor of Applied Physics and Stem Cell and Regenerative Biology,M,Asian,SEAS,APPHYS
"Rubinstein, Shmuel",Associate Professor of Applied Physics,M,White,SEAS,APPHYS
"Weitz, David",Mallinckrodt Professor of Physics and of Applied Physics,M,White,SEAS,APPHYS
"Westervelt, Robert",Mallinckrodt Professor of Applied Physics and of Physics,M,White,SEAS,APPHYS
"Wu, Tai",Gordon McKay Professor of Applied Physics and Professor of Physics,M,Asian,SEAS,APPHYS
"Yacoby, Amir",Professor of Physics and of Applied Physics,M,White,SEAS,APPHYS
"Ingber, Donald Elliot","Founding Director, Wyss Institute for Biologically Inspired Engineering at Harvard University",M,White,SEAS,BIOENG
"Liu, Jia",Assistant Professor of Bioengineering,M,Asian,SEAS,BIOENG
"Mitragotri, Samir",Hiller Professor of Bioengineering and Hansjorg Wyss Professor of Biologically Inspired Engineering,M,Asian,SEAS,BIOENG
"Mooney, David",Robert P. Pinkas Family Professor of Bioengineering,M,White,SEAS,BIOENG
"Parker, Kit",Tarr Family Professor of Bioengineering and Applied Physics,M,White,SEAS,BIOENG
"Sander, Christin",Assistant Professor of Radiology,M,White,SEAS,BIOENG
"Smith, Maurice",Gordon McKay Professor of Bioengineering,M,African American,SEAS,BIOENG
"Amin, Nada",Assistant Professor of Computer Science,F,Asian,SEAS,COMPSCI
"Barak, Boaz",Gordon McKay Professor of Computer Science,M,White,SEAS,COMPSCI
"Chen, Yiling",Gordon McKay Professor of Computer Science,F,Asian,SEAS,COMPSCI
"Chong, Steven",Gordon McKay Professor of Computer Science,M,Asian,SEAS,COMPSCI
"Doshi-Velez, Finale",John L. Loeb Associate Professor of Engineering and Applied Sciences,F,Asian,SEAS,COMPSCI
"Dwork, Cynthia",Gordon McKay Professor of Computer Science,F,White,SEAS,COMPSCI
"Gajos, Krzysztof",Gordon McKay Professor of Computer Science,M,White,SEAS,COMPSCI
"Glassman, Elena Leah",Assistant Professor of Computer Science,F,White,SEAS,COMPSCI
"Gortler, Steven",Robert I. Goldman Professor of Computer Science,M,White,SEAS,COMPSCI
"Grosz, Barbara",Higgins Research Professor of Natural Sciences,F,White,SEAS,COMPSCI
"Idreos, Stratos",Associate Professor of Computer Science,M,White,SEAS,COMPSCI
"Kohler, Eddie",Microsoft Professor of Computer Science,M,White,SEAS,COMPSCI
"Kung, H.T.",William H. Gates Professor of Computer Science and Electrical Engineering and Vinton Hayes Senior Research Fellow in Electrical Engineering,M,Asian,SEAS,COMPSCI
"Lewis, Harry",Gordon McKay Professor of Computer Science,M,White,SEAS,COMPSCI
"Lloyd, Douglas",Preceptor,M,White,SEAS,COMPSCI
"Malan, David",Gordon McKay Professor of the Practice of Computer Science,M,White,SEAS,COMPSCI
"Mickens, James",Gordon McKay Professor of Computer Science,M,African American,SEAS,COMPSCI
"Mitzenmacher, Michael","Thomas J. Watson, Sr. Professor of Computer Science",M,White,SEAS,COMPSCI
"Murphy, Susan",Professor of Statistics and of Computer Science,F,White,SEAS,COMPSCI
"Nagpal, Radhika",Fred Kavli Professor of Computer Science,F,Asian,SEAS,COMPSCI
"Parkes, David",George F. Colony Professor of Computer Science,M,White,SEAS,COMPSCI
"Pfister, Hanspeter",An Wang Professor of Computer Science,M,White,SEAS,COMPSCI
"Procaccia, Ariel",Gordon McKay Professor of Computer Science,M,White,SEAS,COMPSCI
"Shieber, Stuart","James O. Welch, Jr. and Virginia B. Welch Professor of Computer Science",M,White,SEAS,COMPSCI
"Singer, Yaron",Associate Professor of Computer Science,M,White,SEAS,COMPSCI
"Smith, Michael","John H. Finley, Jr. Professor of Engineering and Applied Sciences; Harvard University Distinguished Service Professor",M,White,SEAS,COMPSCI
"Sudan, Madhu",Gordon McKay Professor of Computer Science,M,Asian,SEAS,COMPSCI
"Tambe, Milind",Gordon McKay Professor of Computer Science,M,Asian,SEAS,COMPSCI
"Tanner, Christopher",Lecturer on Computational Science,M,White,SEAS,COMPSCI
"Vadhan, Salil",Vicky Joseph Professor of Computer Science and Applied Mathematics,M,Asian,SEAS,COMPSCI
"Valiant, Leslie",T. Jefferson Coolidge Professor of Computer Science and Applied Mathematics,M,White,SEAS,COMPSCI
"Waildo, James",Gordon McKay Professor of the Practice of Computer Science,M,White,SEAS,COMPSCI
"Yu, Minlan",Associate Professor of Computer Science,F,Asian,SEAS,COMPSCI
"Zittrain, Jonathan",George Bemis Professor of Law,M,White,SEAS,COMPSCI
"Ba, Demba",Associate Professor of Electrical Engineering and Bioengineering,M,African American,SEAS,EE
"Calmon, Flavio",Assistant Professor of Electrical Engineering,M,White,SEAS,EE
"Hu, Evelyn",Tarr-Coyne Professor of Applied Physics and of Electrical Engineering,F,Asian,SEAS,EE
"Li, Na",Thomas D. Cabot Associate Professor of Electrical Engineering and Applied Mathematics,F,Asian,SEAS,EE
"Lu, Yue",Gordon McKay Professor of Electrical Engineering and of Applied Mathematics,M,Asian,SEAS,EE
"Reddi, Vijay Janapa",Associate Professor of Electrical Engineering,M,Asian,SEAS,EE
"Wei, Gu-Yeon",Robert and Suzanne Case Professor of Electrical Engineering and Computer Science,M,Asian,SEAS,EE
"Yang, Woodward",Gordon McKay Professor of Electrical Engineering and Computer Science,M,Asian,SEAS,EE
"Zickler, Todd",William and Ami Kuan Danoff Professor of Electrical Engineering and Computer Science,M,White,SEAS,EE
"Anderson, James",Philip S. Weld Professor of Atmospheric Chemistry,M,White,SEAS,ESE
"Farrell, Brian",Robert P. Burden Professor of Meteorology,M,White,SEAS,ESE
"Holbrook, Noel",Charles Bullard Professor of Forestry; Affiliate in Environmental Science & Engineering,F,White,SEAS,ESE
"Holdren, John ",Teresa and John Heinz Professor of Environmental Policy; Affiliate in Environmental Science & Engineering,M,White,SEAS,ESE
"Huybers, Peter",Professor of Earth and Planetary Sciences and of Environmental Science and Engineering,M,White,SEAS,ESE
"Jacob, Daniel",Vasco McCoy Family Professor of Atmospheric Chemistry and Environmental Engineering,M,White,SEAS,ESE
"Keith, David",Gordon McKay Professor of Applied Physics,M,White,SEAS,ESE
"Keutsch, Frank",Stonington Professor of Engineering and Atmospheric Science and Professor of Chemistry and Chemical Biology,M,White,SEAS,ESE
"Kuang, Zhiming",Gordon McKay Professor of Atmospheric and Environmental Science,M,White,SEAS,ESE
"Linz, Marianna",Assistant Professor of Environmental Science and Engineering and of Earth and Planetary Sciences,F,White,SEAS,ESE
"Martin, Scot",Gordon McKay Professor of Environmental Science and Engineering and Professor of Earth and Planetary Sciences,M,White,SEAS,ESE
"McColl, Kaighin",Assistant Professor of Earth and Planetary Sciences and of Environmental Science and Engineering,M,White,SEAS,ESE
"KcElroy, Michael",Gilbert Butler Professor of Environmental Studies,M,White,SEAS,ESE
"Mitrovica, Jerry","Frank B. Baird, Jr. Professor of Science; Affiliate in Environmental Science & Engineering",M,White,SEAS,ESE
"Pearson, Ann",Murray and Martha Ross Professor of Environmental Sciences; Affiliate in Environmental Science & Engineering,F,White,SEAS,ESE
"Schrag, Daniel",Sturgis Hooper Professor of Geology and Professor of Environmental Science and Engineering,M,White,SEAS,ESE
"Shaw, John",Harry C. Dudley Professor of Structural and Economic Geology and Professor of Environmental Science and Engineering,M,White,SEAS,ESE
"Tziperman, Eli","Pamela and Vasco McCoy, Jr. Professor of Oceanography and Applied Physics",M,White,SEAS,ESE
"Wofsy, Steven",Abbott Lawrence Rotch Professor of Atmospheric and Environmental Science,M,White,SEAS,ESE
"Wordsworth, Robin",Associate Professor of Environmental Science and Engineering,M,White,SEAS,ESE
"Aizenberg, Joanna",Amy Smith Berylson Professor of Materials Science and Professor of Chemistry & Chemical Biology,F,White,SEAS,MECHE
"Aziz, Michael",Gene and Tracy Sykes Professor of Materials and Energy Technologies,M,White,SEAS,MECHE
"Bertoldi, Katia",William and Ami Kuan Danoff Professor of Applied Mechanics,F,White,SEAS,MECHE
"Clarke, David",Extended Tarr Family Professor of Materials,M,White,SEAS,MECHE
"Friend, Cynthia",Theodore William Richards Professor of Chemistry and Professor of Materials Science,F,White,SEAS,MECHE
"Gordon, Roy",Thomas Dudley Cabot Professor of Chemistry and Professor of Materials Science,M,White,SEAS,MECHE
"Howe, Robert",Abbott and James Lawrence Professor of Engineering,M,White,SEAS,MECHE
"Kozinsky, Boris",Associate Professor of Computational Materials Science,M,White,SEAS,MECHE
"Lewis, Jennifer",Hansjorg Wyss Professor of Biologically Inspired Engineering,F,White,SEAS,MECHE
"Li, Xin",Associate Professor of Materials Science,M,Asian,SEAS,MECHE
"McCullough, Richard",Vice Provost for Research,M,White,SEAS,MECHE
"Narang, Prineha",Assistant Professor of Computational Materials Science,F,Asian,SEAS,MECHE
"Rice, James",Mallinckrodt Professor of Engineering Sciences and Geophysics,M,White,SEAS,MECHE
"Spaepen, Frans",John C. and Helen F. Franklin Professor of Applied Physics,M,White,SEAS,MECHE
"Suo, Zhigang",Allen E. and Marilyn M. Puckett Professor of Mechanics and Materials,M,Asian,SEAS,MECHE
"Vlassak, Joost",Abbott and James Lawrence Professor of Materials Engineering,M,White,SEAS,MECHE
"Walsh, Conor",Gordon McKay Professor of Engineering and Applied Sciences,M,White,SEAS,MECHE
"Wood, Robert",Charles River Professor of Engineering and Applied Sciences,M,White,SEAS,MECHE
"Aldy, Joseph",Professor of the Practice of Public Policy,M,White,HKS,HKS
"Allison, Graham",Douglas Dillon Professor of Government in the John F. Kennedy School of Government,M,White,HKS,HKS
"Alsan, Marcella",Professor of Public Policy,F,White,HKS,HKS
"Altshuler, Alan","Ruth and Frank Stanton Professor of Urban Policy and Planning, Emeritus, GSD and HKS; Harvard University Distinguished Service Professor",M,White,HKS,HKS
"Andrews, Matthew",Edward S. Mason Senior Lecturer in International Development,M,White,HKS,HKS
"Ang, Desmond",Assistant Professor of Public Policy,M,Asian,HKS,HKS
"Applbaum, Arthur",Adams Professor of Political Leadership and Democratic Values,M,White,HKS,HKS
"Avery, Christopher",Roy E. Larsen Professor of Public Policy and Management at the John F. Kennedy School of Government,M,White,HKS,HKS
"Bacow, Lawrence",Professor of Public Policy,M,White,HKS,HKS
"Bai, Jie",Assistant Professor of Public Policy,F,Asian,HKS,HKS
"Battilana, Julie",Gleitsman Professor of Social Innovation,F,White,HKS,HKS
"Baum, Matthew",Marvin Kalb Professor of Global Communications,M,White,HKS,HKS
"Behn, Robert",Senior Lecturer in Public Policy,M,White,HKS,HKS
"Bilmes, Linda",Daniel Patrick Moynihan Senior Lecturer in Public Policy,F,White,HKS,HKS
"Bohnet, Iris",Albert Pratt Professor of Business and Government,F,White,HKS,HKS
"Borjas, George",Robert W. Scrivner Professor of Economics and Social Policy at the John F. Kennedy School of Gov't,M,White,HKS,HKS
